Tue May  7 15:16:32 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:16:33 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:16:34 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:16:34 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:16:35 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:16:38 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:16:38 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:16:39 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:16:40 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:16:40 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:16:41 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:16:44 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:16:44 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:16:45 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:16:46 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:16:46 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:16:47 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:16:50 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:16:50 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:16:51 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:16:52 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:16:52 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:16:53 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:16:56 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:16:56 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:16:57 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:16:58 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:16:58 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:16:59 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:17:02 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:17:02 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:17:03 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:17:04 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:17:04 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:17:05 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:17:08 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:17:08 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:17:09 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:17:10 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:17:10 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:17:11 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:17:14 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:17:14 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:17:15 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:17:16 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:17:16 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:17:17 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:17:20 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:17:20 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:17:21 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:17:22 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:17:22 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:17:23 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:17:26 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:17:26 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:17:27 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:17:28 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:17:28 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:17:29 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:17:32 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:17:32 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:17:33 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:17:34 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:17:34 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:17:35 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:17:38 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:17:38 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:17:39 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:17:40 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:17:40 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:17:41 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:17:44 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:17:44 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:17:45 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:17:46 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:17:46 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:17:47 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:17:50 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:17:50 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:17:51 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:17:52 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:17:52 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:17:53 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:17:56 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:17:56 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:17:57 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:17:58 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:17:58 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:17:59 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:18:02 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:18:02 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:18:03 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:18:04 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:18:04 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:18:04 2019 | suddenStop | Collector was closed
Tue May  7 15:36:36 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:36:42 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:36:43 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:36:46 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:36:46 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:36:47 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:36:48 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:36:48 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
